Time,Actual Value,Fitted Value,,PE
0,14,14,,0
15,11.8,12.49440357,,5.884776013
30,10.5,11.1507229,,6.197360924
45,9.3,9.95154514,,7.005861726
60,8.5,8.88133008,,4.48623624
75,7.7,7.926208733,,2.93777575
90,7.1,7.07380362,,0.368963095
105,6.5,6.313068372,,2.875871206
120,6,5.634144571,,6.09759048
150,5.3,4.487484634,,15.33047861
180,4.4,3.57419269,,18.76834796
210,3.5,2.846773733,,18.66360762
240,2.9,2.267398932,,21.81382993
300,1.3,1.438394167,,10.64570516
360,0.7,0.912489527,,30.35564678
,,,,
,,,average,8.648314622
,,,median,6.197360924
