t_i,H_i,t_j,H_j,Value
0.0,14.0,15.0,12.1,-0.009723458467504198
0.0,14.0,30.0,10.9,-0.008343151346005348
0.0,14.0,45.0,10.0,-0.0074771608138047225
0.0,14.0,60.0,9.3,-0.006817382157600801
0.0,14.0,75.0,8.6,-0.006497268351410621
0.0,14.0,90.0,8.0,-0.006217953199282474
0.0,14.0,105.0,7.5,-0.005944326753076131
0.0,14.0,120.0,7.0,-0.00577622650466621
0.0,14.0,150.0,6.2,-0.005430053583761416
0.0,14.0,180.0,5.5,-0.00519060687431574
0.0,14.0,210.0,4.5,-0.005404666346852306
0.0,14.0,240.0,3.5,-0.00577622650466621
0.0,14.0,300.0,2.0,-0.00648636716351771
0.0,14.0,360.0,0.9,-0.007623382903536346
15.0,12.1,30.0,10.9,-0.006962844224506496
15.0,12.1,45.0,10.0,-0.0063540119869549844
15.0,12.1,60.0,9.3,-0.005848690054299668
15.0,12.1,75.0,8.6,-0.005690720822387226
15.0,12.1,90.0,8.0,-0.005516852145638129
15.0,12.1,105.0,7.5,-0.00531447146733812
15.0,12.1,120.0,7.0,-0.005212336224260783
15.0,12.1,150.0,6.2,-0.004953008596678885
15.0,12.1,180.0,5.5,-0.004778529456753153
15.0,12.1,210.0,4.5,-0.0050724515683406215
15.0,12.1,240.0,3.5,-0.005513077707143677
15.0,12.1,300.0,2.0,-0.006315993936992105
15.0,12.1,360.0,0.9,-0.007532075270320353
30.0,10.9,45.0,10.0,-0.005745179749403473
30.0,10.9,60.0,9.3,-0.005291612969196254
30.0,10.9,75.0,8.6,-0.005266679688347469
30.0,10.9,90.0,8.0,-0.0051553541259210375
30.0,10.9,105.0,7.5,-0.004984796915904444
30.0,10.9,120.0,7.0,-0.004920584890886497
30.0,10.9,150.0,6.2,-0.004701779143200433
30.0,10.9,180.0,5.5,-0.0045600979799778184
30.0,10.9,210.0,4.5,-0.004914918846993466
30.0,10.9,240.0,3.5,-0.005409522955903476
30.0,10.9,300.0,2.0,-0.006280057809907973
30.0,10.9,360.0,0.9,-0.007557949408766437
45.0,10.0,60.0,9.3,-0.004838046188989035
45.0,10.0,75.0,8.6,-0.005027429657819467
45.0,10.0,90.0,8.0,-0.004958745584760226
45.0,10.0,105.0,7.5,-0.004794701207529687
45.0,10.0,120.0,7.0,-0.004755665919183102
45.0,10.0,150.0,6.2,-0.004552721913742857
45.0,10.0,180.0,5.5,-0.004428422227819412
45.0,10.0,210.0,4.5,-0.0048394405831380105
45.0,10.0,240.0,3.5,-0.005383703202557323
45.0,10.0,300.0,2.0,-0.006311521225231767
45.0,10.0,360.0,0.9,-0.007644271773498007
60.0,9.3,75.0,8.6,-0.0052168131266499
60.0,9.3,90.0,8.0,-0.005019095282645821
60.0,9.3,105.0,7.5,-0.004780252880376572
60.0,9.3,120.0,7.0,-0.004735070851731619
60.0,9.3,150.0,6.2,-0.004505167867868493
60.0,9.3,180.0,5.5,-0.00437721923267321
60.0,9.3,210.0,4.5,-0.004839580022552908
60.0,9.3,240.0,3.5,-0.005429174620354679
60.0,9.3,300.0,2.0,-0.006403613414996938
60.0,9.3,360.0,0.9,-0.007784583052723456
75.0,8.6,90.0,8.0,-0.004821377438641742
75.0,8.6,105.0,7.5,-0.004561972757239907
75.0,8.6,120.0,7.0,-0.004574490093425526
75.0,8.6,150.0,6.2,-0.004362838816112212
75.0,8.6,180.0,5.5,-0.004257277247819396
75.0,8.6,210.0,4.5,-0.004797665233208798
75.0,8.6,240.0,3.5,-0.005448480210691478
75.0,8.6,300.0,2.0,-0.006482733434220073
75.0,8.6,360.0,0.9,-0.007919728838306274
90.0,8.0,105.0,7.5,-0.0043025680758380725
90.0,8.0,120.0,7.0,-0.0044510464208174175
90.0,8.0,150.0,6.2,-0.004248204160479829
90.0,8.0,180.0,5.5,-0.004163260549349005
90.0,8.0,210.0,4.5,-0.00479470120752968
90.0,8.0,240.0,3.5,-0.0055111904878964516
90.0,8.0,300.0,2.0,-0.006601401719618525
90.0,8.0,360.0,0.9,-0.008091859471620971
105.0,7.5,120.0,7.0,-0.004599524765796763
105.0,7.5,150.0,6.2,-0.004230082855360415
105.0,7.5,180.0,5.5,-0.004135399044051192
105.0,7.5,210.0,4.5,-0.004865005940628481
105.0,7.5,240.0,3.5,-0.005645481867014049
105.0,7.5,300.0,2.0,-0.006778235076832406
105.0,7.5,360.0,0.9,-0.008314758965490552
120.0,7.0,150.0,6.2,-0.004045361900142241
120.0,7.0,180.0,5.5,-0.004019367613614799
120.0,7.0,210.0,4.5,-0.0049092528031004345
120.0,7.0,240.0,3.5,-0.00577622650466621
120.0,7.0,300.0,2.0,-0.006959794269418711
120.0,7.0,360.0,0.9,-0.008546961102971413
150.0,6.2,180.0,5.5,-0.003993373327087357
150.0,6.2,210.0,4.5,-0.00534119825457953
150.0,6.2,240.0,3.5,-0.006353181372840866
150.0,6.2,300.0,2.0,-0.007542680743274005
150.0,6.2,360.0,0.9,-0.009190046703375582
180.0,5.5,210.0,4.5,-0.006689023182071704
180.0,5.5,240.0,3.5,-0.00753308539571762
180.0,5.5,300.0,2.0,-0.008430007597320665
180.0,5.5,360.0,0.9,-0.010056158932756954
210.0,4.5,240.0,3.5,-0.008377147609363537
210.0,4.5,300.0,2.0,-0.009010335735736988
210.0,4.5,360.0,0.9,-0.010729586082894003
240.0,3.5,300.0,2.0,-0.009326929798923713
240.0,3.5,360.0,0.9,-0.01131769570127662
300.0,2.0,360.0,0.9,-0.013308461603629525

Average,,,,-0.006024783139672547
Median,,,,-0.005429174620354679
