Time,Actual Value,Fitted Value,,PE
0,14,14,,0
15,12.1,12.66634948,,4.680574207
30,10.9,11.45974351,,5.13526155
45,10,10.36807973,,3.680797303
60,9.3,9.380408664,,0.864609286
75,8.6,8.486823885,,1.316001338
90,8,7.678362664,,4.020466702
105,7.5,6.946916066,,7.374452451
120,7,6.285147621,,10.21217684
150,6.2,5.144727118,,17.02053035
180,5.5,4.211232371,,23.43213871
210,4.5,3.447117345,,23.39739233
240,3.5,2.821648616,,19.38146812
300,2,1.890586937,,5.470653143
360,0.9,1.266748435,,40.74982607
,,,,
,,,avr er,8.999037309
,,,median er,5.470653143
