t_i,H_i,t_j,H_j,Value
0.0,17.0,15.0,16.1,-0.0036262714710532623
0.0,17.0,30.0,14.9,-0.0043950710368267625
0.0,17.0,45.0,14.0,-0.0043145780986879505
0.0,17.0,60.0,13.2,-0.004216608574398184
0.0,17.0,75.0,12.5,-0.004099795996639474
0.0,17.0,90.0,11.9,-0.0039630549326525825
0.0,17.0,105.0,11.2,-0.003974281578620642
0.0,17.0,120.0,10.7,-0.003858080021569632
0.0,17.0,150.0,9.7,-0.003740583056979195
0.0,17.0,180.0,8.9,-0.003595344818434011
0.0,17.0,210.0,8.3,-0.003414084901207923
0.0,17.0,240.0,7.5,-0.003409626347974798
0.0,17.0,300.0,6.3,-0.0033088790355290977
0.0,17.0,360.0,5.2,-0.0032904297735245405
15.0,16.1,30.0,14.9,-0.005163870602600262
15.0,16.1,45.0,14.0,-0.004658731412505294
15.0,16.1,60.0,13.2,-0.004413387608846491
15.0,16.1,75.0,12.5,-0.004218177128036027
15.0,16.1,90.0,11.9,-0.004030411624972446
15.0,16.1,105.0,11.2,-0.004032283263215206
15.0,16.1,120.0,10.7,-0.003891195528786256
15.0,16.1,150.0,9.7,-0.0037532843443042986
15.0,16.1,180.0,8.9,-0.0035925333045595336
15.0,16.1,210.0,8.3,-0.003397762857373666
15.0,16.1,240.0,7.5,-0.003395183339769567
15.0,16.1,300.0,6.3,-0.0032921741705015098
15.0,16.1,360.0,5.2,-0.003275827960588509
30.0,14.9,45.0,14.0,-0.004153592222410326
30.0,14.9,60.0,13.2,-0.004038146111969606
30.0,14.9,75.0,12.5,-0.0039029459698479486
30.0,14.9,90.0,11.9,-0.003747046880565493
30.0,14.9,105.0,11.2,-0.0038059657953381947
30.0,14.9,120.0,10.7,-0.003679083016483922
30.0,14.9,150.0,9.7,-0.003576961062017303
30.0,14.9,180.0,8.9,-0.0034353995747554607
30.0,14.9,210.0,8.3,-0.0032505872119381165
30.0,14.9,240.0,7.5,-0.00326884853528166
30.0,14.9,300.0,6.3,-0.0031881910353849124
30.0,14.9,360.0,5.2,-0.0031900078404970655
45.0,14.0,60.0,13.2,-0.003922700001528886
45.0,14.0,75.0,12.5,-0.00377762284356676
45.0,14.0,90.0,11.9,-0.0036115317666172153
45.0,14.0,105.0,11.2,-0.003719059188570162
45.0,14.0,120.0,10.7,-0.003584181175298641
45.0,14.0,150.0,9.7,-0.0034945851819611572
45.0,14.0,180.0,8.9,-0.003355600391682698
45.0,14.0,210.0,8.3,-0.0031684958473497337
45.0,14.0,240.0,7.5,-0.003200791328579455
45.0,14.0,300.0,6.3,-0.0031314027302657707
45.0,14.0,360.0,5.2,-0.0031441228699297676
60.0,13.2,75.0,12.5,-0.0036325456856046343
60.0,13.2,90.0,11.9,-0.00345594764916138
60.0,13.2,105.0,11.2,-0.0036511789175839205
60.0,13.2,120.0,10.7,-0.00349955146874108
60.0,13.2,150.0,9.7,-0.0034232327120332024
60.0,13.2,180.0,8.9,-0.0032847129404519246
60.0,13.2,210.0,8.3,-0.0030930754319318183
60.0,13.2,240.0,7.5,-0.003140632272500336
60.0,13.2,300.0,6.3,-0.0030819466508118258
60.0,13.2,360.0,5.2,-0.0031051940133498116
75.0,12.5,90.0,11.9,-0.003279349612718126
75.0,12.5,105.0,11.2,-0.003660495533573564
75.0,12.5,120.0,10.7,-0.0034552200631198953
75.0,12.5,150.0,9.7,-0.0033813701173189157
75.0,12.5,180.0,8.9,-0.0032350225482872517
75.0,12.5,210.0,8.3,-0.003033134292634839
75.0,12.5,240.0,7.5,-0.003095912871309036
75.0,12.5,300.0,6.3,-0.0030452400484923055
75.0,12.5,360.0,5.2,-0.0030774386621785052
90.0,11.9,105.0,11.2,-0.004041641454429002
90.0,11.9,120.0,10.7,-0.00354315528832078
90.0,11.9,150.0,9.7,-0.0034068752434691135
90.0,11.9,180.0,8.9,-0.003227634704215439
90.0,11.9,210.0,8.3,-0.003002357377624428
90.0,11.9,240.0,7.5,-0.003077569197168127
90.0,11.9,300.0,6.3,-0.0030285179367618895
90.0,11.9,360.0,5.2,-0.0030662213871485264
105.0,11.2,120.0,10.7,-0.0030446691222125585
105.0,11.2,150.0,9.7,-0.003195286506482484
105.0,11.2,180.0,8.9,-0.003064833354172727
105.0,11.2,210.0,8.3,-0.002853888223795203
105.0,11.2,240.0,7.5,-0.002970450057472474
105.0,11.2,300.0,6.3,-0.002950585358479804
105.0,11.2,360.0,5.2,-0.003008843736132028
120.0,10.7,150.0,9.7,-0.003270595198617447
120.0,10.7,180.0,8.9,-0.003069874412162769
120.0,10.7,210.0,8.3,-0.0028220914073923105
120.0,10.7,240.0,7.5,-0.002961172674379964
120.0,10.7,300.0,6.3,-0.002942745044835408
120.0,10.7,360.0,5.2,-0.0030066046495019947
150.0,9.7,180.0,8.9,-0.002869153625708091
150.0,9.7,210.0,8.3,-0.0025978395117797425
150.0,9.7,240.0,7.5,-0.0028580318329674693
150.0,9.7,300.0,6.3,-0.002877175014079
150.0,9.7,360.0,5.2,-0.002968891713914073
180.0,8.9,210.0,8.3,-0.002326525397851394
180.0,8.9,240.0,7.5,-0.0028524709365971585
180.0,8.9,300.0,6.3,-0.0028791803611717274
180.0,8.9,360.0,5.2,-0.0029855147286150696
210.0,8.3,240.0,7.5,-0.003378416475342923
210.0,8.3,300.0,6.3,-0.003063398682278505
210.0,8.3,360.0,5.2,-0.003117312594767805
240.0,7.5,300.0,6.3,-0.002905889785746296
240.0,7.5,360.0,5.2,-0.0030520366246240254
300.0,6.3,360.0,5.2,-0.003198183463501754

Average,,,,-0.003407478247119231
Median,,,,-0.0032904297735245405
