Time,Actual Value,Fitted Value,,PE
0,14,14,,0
15,11.8,12.70408162,,7.661708685
30,10.5,11.52812071,,9.791625804
45,9.3,10.46101332,,12.48401419
60,8.5,9.492683364,,11.67862781
75,7.7,8.613987449,,11.86996687
90,7.1,7.816628548,,10.09335983
105,6.5,7.09307765,,9.124271543
120,6,6.436502674,,7.275044573
150,5.3,5.300055698,,0.001050911
180,4.4,4.36426299,,0.812204779
210,3.5,3.593696468,,2.677041945
240,2.9,2.959183334,,2.040804623
300,1.3,2.006470743,,54.34390332
360,0.7,1.360485103,,94.35501473
,,,,
,,,average er,6.577670889
,,,median er,9.124271543
