Time,Actual Value,Fitted Value,,PE
0,14,14,,0
15,12.1,12.79029691,,5.704933147
30,10.9,11.68512108,,7.202945653
45,10,10.67544057,,6.754405717
60,9.3,9.753003898,,4.871009651
75,8.6,8.910272544,,3.607820284
90,8,8.140359386,,1.754492321
105,7.5,7.436972393,,0.840368092
120,7,6.794363216,,2.937668341
150,6.2,5.670925487,,8.533459889
180,5.5,4.733246495,,13.94097282
210,4.5,3.950611313,,12.2086375
240,3.5,3.297383679,,5.78903773
300,2,2.297099706,,14.85498528
360,0.9,1.600258742,,77.80652683
,,,,
,,,avr er,5.703519319
,,,median err,5.78903773
